IndexName,DisplayName,VersionCommand,InfoCommand,InstallCommand,ListCommand,ListUpgradableCommand,UpgradeCommand,RemoveCommand,UpdateCacheCommand,ListInstalledCommand,Attribution,Test Status
composer,Composer (PHP),composer --version,composer show,composer install,composer search '' | awk '{print $1}',composer outdated,composer update,composer remove,composer self-update,composer global show,AI,Untested
gem,Ruby Gems,gem --version,gem info,gem install,gem search -r . --no-versions,gem outdated,gem update,gem uninstall,gem update --system,gem list,AI,Untested
pip,Python-PIP,pip --version,pip show,pip install --break-system-packages,pip list,pip list --outdated,pip list --outdated | awk 'NR>2 {print \$1}' | xargs pip install --break-system-packages -U,pip uninstall --break-system-packages,pip list --outdated,pip list,AI,Untested
pnpm,PNPM (Node.js),pnpm --version,pnpm view,pnpm add,pnpm list,cd ~ && pnpm outdated,pnpm update,pnpm remove -g,pnpm update -g,pnpm list -g,AI,Untested
sdgpkg,SDG-OS Packages,sdgpkg version,sdgpkg info,yes | sdgpkg install,sdgpkg fetch,sdgpkg upgradable,sdgpkg upgrade,yes | sdgpkg uninstall,echo "not supported",sdgpkg list,SDG-Den [github], Tested Working
pmm,Bedrock PMM,brl version,pmm -Si,sudo pmm -S,pmm -Sl,pmm -S -u -q 2>&1 | grep -v 'nothing to do',sudo pmm -Syu,sudo pmm -R,sudo pmm -Sy,pmm -Q,Manual,Untested
brl-fetch,Bedrock Stratum Fetch,brl version,brl fetch --list,sudo brl fetch,brl fetch --list,echo 'not supported',sudo brl update,sudo brl remove,sudo brl update,brl list,Manual,Untested
cpan,CPAN Perl,cpan --version,cpan -D,sudo cpan -i,cpan -l,sudo cpan -O,sudo cpan -u,sudo cpan -U,sudo cpan -u,cpan -l,Manual,Untested
paru,Paru AUR Helper,paru --version,paru -Si,paru -S --noconfirm,paru -Slq,paru -Qua,paru -Syu --noconfirm,paru -R --noconfirm,paru -Sy,paru -Q,Manual,Untested
aura,Aura Package Manager,aura --version,aura -Ai,aura -A,aura -As '' 2>&1 || aura -As '.' 2>&1 || echo 'no packages',aura -Au,aura -Ayu,aura -R,aura -Sy,aura -Q,Manual,Untested
pikaur,Pikaur AUR Helper,pikaur --version,pikaur -Si,pikaur -S --noconfirm,pikaur -Slq,pikaur -Qua,pikaur -Syu --noconfirm,pikaur -R --noconfirm,pikaur -Sy,pikaur -Q,Manual,Untested
trizen,Trizen AUR Package Manager,trizen --version,trizen -Si,trizen -S --noedit,trizen -Slq,trizen -Qu,trizen -Syu --noedit,trizen -R,trizen -Sy,trizen -Q,Manual,Untested
npm,NPM Node.js,npm --version,npm info,sudo npm install -g,npm search --long false 2>/dev/null | cut -d' ' -f1,npm outdated -g,sudo npm update -g,sudo npm uninstall -g,sudo npm update -g,npm list -g --depth=0 | cut -d' ' -f2 | sed 1d,Manual,Untested
pipx,PipX Python,pipx --version,pipx list,pipx install,pipx list | awk 'NR>4 {print $1}' | sed 's/package //',echo 'not supported',pipx upgrade-all,pipx uninstall,pipx upgrade-all,pipx list | awk 'NR>4 {print $1}' | sed 's/package //',Manual,Untested
soar,Soar Package Manager,soar --version,soar query 2>/dev/null,soar install,soar list | grep -oP '\w+' | head -1,soar update --check 2>&1,soar update,soar remove,soar sync,soar info,Manual,Untested
